Id,Player,Said,To,In response to,Created at
181772,Player #35163,Rarely,ubc air quality sensor,How often do you think about air pollution and the dangers it has on your health?,2021-07-26 06:10:08 UTC
181771,Player #35163,"Honestly, at this point, CO2 is the biggest issue",ubc air quality sensor,What environmental impact should be of most concern to UBC/Vancouver? 🌍,2021-07-26 06:09:49 UTC
181770,Player #35163,Hello aqs #6,ubc air quality sensor,,2021-07-26 06:08:57 UTC
181768,Player #25003,Rough air matter particulate,ubc air quality sensor,What do you think RAMP stands for?,2021-07-26 05:38:02 UTC
181767,Player #25003,No,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-07-26 05:35:42 UTC
181766,Player #25003,Yes,ubc air quality sensor,"Would you like to receive notifications about air quality via your mobile phone? 📲 (Yes, No)",2021-07-26 05:35:35 UTC
181765,Player #25003,Very often!,ubc air quality sensor,How often do you think about air pollution and the dangers it has on your health?,2021-07-26 05:35:25 UTC
181764,Player #25003,Less construction!,ubc air quality sensor,How can we improve air quality around UBC?,2021-07-26 05:35:16 UTC
181763,Player #25003,Hello AQS #5,ubc air quality sensor,,2021-07-26 05:34:57 UTC
181762,Player #35162,Online news (e.g cbc online),ubc air quality sensor,"Do you receive information about poor air quality? If so, how? 💻 💬 ",2021-07-26 05:03:26 UTC
181761,Player #35162,Vehicles,ubc air quality sensor,I'm here to identify different sources of pollution - can you name any?,2021-07-26 05:03:01 UTC
181760,Player #35162,Low risk,ubc air quality sensor,"Do you think UBC's campus has been deemed 'Low-Risk' or 'High-Risk', by British Columbia's Air Quality Health Index? ",2021-07-26 05:02:42 UTC
181759,Player #35162,No,ubc air quality sensor,"Would you like to talk to an air quality scientist at UBC? (Yes, No) If yes, please let me know your name and email address and I'll pass your contact details on.",2021-07-26 05:02:32 UTC
181758,Player #35162,Bad smelling air,ubc air quality sensor,What are indicators of poor air quality?,2021-07-26 05:02:17 UTC
181757,Player #35162,Hello AQS #7,ubc air quality sensor,,2021-07-26 05:01:43 UTC
181756,Player #35161,No,ubc air quality sensor,"Do you like to get involved in recreational activities around UBC? (Yes, No)",2021-07-26 02:53:02 UTC
181755,Player #35161,Maybe,ubc air quality sensor,Is there a particular period of the day ⏰when you notice air quality becoming worse?,2021-07-26 02:52:33 UTC
181754,Player #35161,Yes,ubc air quality sensor,"In addition to the air quality sensors around UBC, would you like to see air quality sensors around your home and near major traffic intersections? (Yes, No)",2021-07-26 02:52:16 UTC
181753,Player #35161,HELLO AQS #6,ubc air quality sensor,,2021-07-26 02:51:50 UTC
181609,Player #35110,Hello AQS #1,ubc air quality sensor,,2021-07-24 22:38:56 UTC
181576,Player #35103,Hello AQS #5 how's the air?,ubc air quality sensor,,2021-07-24 17:43:24 UTC
